sample,index,param,time,LEO-score,Gurobi-score,History-score,satisfaction gap,LEO-CPU time,Gurobi-CPU time,LEO-satisfaction,Gurobi-satisfaction,obj_gap1,obj_gap2
insample,Demand satisfaction rate,locality0.4,1721993520.4054236.txt,563.0,563.0,165.0,0.0,12.60598087310791,191.08855843544006,2.4119750318162536,2.4119750318162536,55.73,2.38
insample,Demand satisfaction rate,locality0.4,1721993891.8964186.txt,1349.0,1417.0,1016.0,-0.04798836987741795,69.93839883804321,178.41756057739258,0.32775267959961024,0.39468115471304416,146.61,11.24
insample,Demand satisfaction rate,locality0.4,1721994168.173287.txt,447.0,548.0,165.0,-0.18430320614587326,22.141361474990845,128.49245762825012,1.7089873341009636,2.3210714502151384,220.66,4.15
insample,Demand satisfaction rate,locality0.4,1721994506.7197306.txt,562.0,562.0,135.0,0.0,7.630895376205444,194.43784928321838,3.1627286867639435,3.1627286867639435,63.03,4.57
insample,Future service Level of vehicles,locality0.2,1721970368.6034503.txt,107.0,107.0,0.0,0.0,6.9561731815338135,149.8340709209442,10700.0,10700.0,622.56,18.6
insample,Future service Level of vehicles,locality0.2,1721970678.3995125.txt,132.0,144.0,6.0,-0.08332754669814597,36.98268747329712,151.14740204811096,20.965058236272878,22.96173044925125,139.32,0.8
insample,Future service Level of vehicles,locality0.2,1721970958.030945.txt,855.0,932.0,638.0,-0.08261713930108046,8.456675291061401,148.28596687316895,0.34012006081409385,0.46080782432877226,2.43,5.12
insample,Future service Level of vehicles,locality0.2,1721971237.7807674.txt,102.0,123.0,12.0,-0.1707178278188765,9.4698486328125,149.65520024299622,7.4937552039966695,9.242298084929226,0.0,1.4
insample,Future service Level of vehicles,locality0.2,1721971530.6726844.txt,72.0,118.0,0.0,-0.389797474790272,21.19407820701599,149.452974319458,7200.0,11800.0,100.47,3.06
insample,Idle vehicles cost,locality0.2,1721965225.4487386.txt,-370.57249733774256,-407.57249733774256,-215.5724973377426,0.09078362273685478,10.731305360794067,121.78185510635376,-0.7190490085905179,-0.8906929654798674,7.29,75.81
insample,Idle vehicles cost,locality0.2,1721965547.9910345.txt,-423.90961640796564,-461.90961640796564,-273.9096164079657,0.08226895769152813,12.167372941970825,186.35599398612976,-0.5476458929266231,-0.6863828524680344,0.0,22.48
insample,Idle vehicles cost,locality0.2,1721965755.591143.txt,-226.66194989091215,-323.6619498909121,-236.66194989091215,0.2997046674141593,9.555514574050903,72.18552994728088,0.0422561487645026,-0.36762849425117256,55.73,0.53
insample,Idle vehicles cost,locality0.2,1721966053.3065927.txt,-688.9871615741138,-802.9871615741138,-589.9871615741137,0.1419716592891888,20.68181324005127,135.6426453590393,-0.16780310569286946,-0.3610309243695068,25.66,92.95
insample,Idle vehicles cost,locality0.2,1721966327.2199905.txt,-2912.467102572685,-2953.467102572685,-2472.4671025726857,0.013882036737315704,14.873941659927368,142.73448729515076,-0.17796062044601801,-0.19454331462394245,55.73,33.39
insample,Idle vehicles cost,locality0.4,1721967052.5392365.txt,-3040.5804844993063,-3040.5804844993063,-2369.5804844993063,0.0,8.560329914093018,123.54589986801147,-0.28317368248355074,-0.28317368248355074,0.0,2.73
insample,Idle vehicles cost,locality0.4,1721967339.013028.txt,-1525.763791341917,-1580.763791341917,-1153.763791341917,0.03479352717750559,10.629777193069458,135.3876440525055,-0.32242580938116033,-0.37009629195095556,55.73,48.53
insample,Idle vehicles cost,locality0.4,1721967619.715813.txt,-845.19539060612,-882.19539060612,-490.19539060612,0.041941297593444095,10.68631362915039,136.64859342575073,-0.7242157901952939,-0.7996974359339584,55.73,33.14
insample,Idle vehicles cost,locality0.4,1721967950.933576.txt,-2856.8903543954607,-2975.8903543954607,-2308.8903543954607,0.03998816680389505,12.510231256484985,188.2344195842743,-0.23734447692655955,-0.2888846096898088,23.23,21.57
insample,Idle vehicles cost,locality0.4,1721968220.2207987.txt,-953.6173051945324,-1052.6173051945323,-673.6173051945323,0.09405216884914522,5.632824659347534,134.4343285560608,-0.41567245165065186,-0.5626423541985607,0.0,71.98
insample,Number of high-powered taxis in demand areas,locality0.2,1721968574.173859.txt,31.0,37.0,0.0,-0.1621183463928668,12.474189519882202,139.3924400806427,3100.0,3700.0,0.0,1.07
